,Nombre del jugador,Posición,Equipo,Edad,Minutos jugados,Goles anotados,Asistencias anotadas,Goles anotados esperados,Goles encajados (Porteros),Paradas (Porteros),Porterías a cero (Porteros),Goles encajados jugando,Goles encajados esperados,Valor de Mercado,Liga
26,Inigo Lekue,2,35,25.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.3,2000000,2
27,Unai Lopez,3,35,22.0,328.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1500000,2
28,Oscar De Marcos,2,35,29.0,2421.0,1.0,2.0,1.3,0.0,0.0,0.0,32.0,32.4,6000000,2
29,Inigo Martinez,2,35,27.0,2902.0,0.0,0.0,2.1,0.0,0.0,0.0,40.0,39.4,32000000,2
30,Iker Muniain,3,35,25.0,2383.0,7.0,3.0,7.1,0.0,0.0,0.0,0.0,0.0,15000000,2
31,Unai Nunez,2,35,21.0,1064.0,0.0,0.0,1.1,0.0,0.0,0.0,15.0,14.6,15000000,2
32,Mikel San Jose,3,35,29.0,1733.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7500000,2
33,Unai Simon,1,35,21.0,630.0,0.0,0.0,0.0,13.0,20.0,0.0,0.0,0.0,6000000,2
34,Inaki Williams,4,35,24.0,3025.0,13.0,4.0,13.1,0.0,0.0,0.0,0.0,0.0,50000000,2
35,Martin Aguirregabiria,2,84,22.0,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,31.6,7500000,2
36,Darko Brasanac,3,84,26.0,1580.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,2000000,2
37,Burgui,3,84,24.0,555.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1500000,2
38,Jonathan Calleri,4,84,24.0,2869.0,9.0,2.0,8.5,0.0,0.0,0.0,0.0,0.0,9000000,2
39,Ruben Duarte,2,84,22.0,2772.0,0.0,0.0,0.7,0.0,0.0,0.0,41.0,41.9,5000000,2
40,Rodrigo Ely,2,84,24.0,430.0,0.0,0.0,0.1,0.0,0.0,0.0,11.0,7.0,2000000,2
41,Manu Garcia,3,84,32.0,2330.0,1.0,1.0,2.9,0.0,0.0,0.0,0.0,0.0,2000000,2
42,John Guidetti,4,84,26.0,631.0,2.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,3000000,2
43,Takashi Inui,3,84,30.0,828.0,2.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,4000000,2
44,Victor Laguardia,2,84,28.0,3240.0,1.0,2.0,1.7,0.0,0.0,0.0,44.0,49.2,10000000,2
45,Adrian Marin,2,84,21.0,290.0,0.0,0.0,0.3,0.0,0.0,0.0,6.0,7.9,800000,2
46,Ximo Navarro,2,84,28.0,2533.0,2.0,2.0,0.7,0.0,0.0,0.0,35.0,36.5,3000000,2
47,Fernando Pacheco,1,84,26.0,3150.0,0.0,0.0,0.0,46.0,110.0,8.0,0.0,0.0,15000000,2
48,Antonio Sivera,1,84,21.0,270.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,1500000,2
49,Ruben Sobrino,4,84,26.0,965.0,3.0,1.0,1.9,0.0,0.0,0.0,0.0,0.0,3000000,2
50,Daniel Torres,3,84,28.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900000,2
51,Jordi Alba,2,3,29.0,2991.0,2.0,8.0,1.8,0.0,0.0,0.0,30.0,38.6,50000000,2
52,Carles Alena,3,3,20.0,637.0,2.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,30000000,2
53,Sergio Busquets,3,3,30.0,2715.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,50000000,2
54,Jasper Cillessen,1,3,29.0,270.0,0.0,0.0,0.0,4.0,10.0,1.0,0.0,0.0,18000000,2
55,Ousmane Dembele,4,3,21.0,1661.0,8.0,5.0,3.8,0.0,0.0,0.0,0.0,0.0,100000000,2
56,Munir El Haddadi,4,3,22.0,152.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,10000000,2
57,Clement Lenglet,2,3,23.0,1933.0,1.0,0.0,0.9,0.0,0.0,0.0,19.0,27.4,60000000,2
58,Lionel Messi,4,3,31.0,2713.0,36.0,13.0,23.8,0.0,0.0,0.0,0.0,0.0,150000000,2
59,Carles Perez,4,3,20.0,18.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10000000,2
60,Gerard Pique,2,3,31.0,3150.0,4.0,2.0,3.3,0.0,0.0,0.0,30.0,41.0,35000000,2
61,Rafinha,4,3,25.0,223.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,15000000,2
62,Ivan Rakitic,3,3,30.0,2643.0,3.0,5.0,2.6,0.0,0.0,0.0,0.0,0.0,35000000,2
63,Sergi Roberto,2,3,26.0,2088.0,0.0,7.0,0.5,0.0,0.0,0.0,26.0,29.4,50000000,2
64,Nelson Semedo,2,3,24.0,1600.0,1.0,0.0,0.3,0.0,0.0,0.0,17.0,20.2,40000000,2
65,Denis Suarez,3,3,24.0,19.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,12000000,2
66,Luis Suarez,4,3,31.0,2827.0,21.0,6.0,23.1,0.0,0.0,0.0,0.0,0.0,50000000,2
67,Marc-Andre Ter Stegen,1,3,26.0,3150.0,0.0,0.0,0.0,32.0,85.0,16.0,0.0,0.0,90000000,2
68,Jean-Clair Todibo,2,3,18.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,8000000,2
69,Samuel Umtiti,2,3,24.0,1189.0,0.0,1.0,0.2,0.0,0.0,0.0,16.0,13.5,45000000,2
70,Arturo Vidal,3,3,31.0,1929.0,3.0,7.0,3.4,0.0,0.0,0.0,0.0,0.0,15000000,2
71,Moussa Wague,2,3,19.0,225.0,0.0,0.0,0.1,0.0,0.0,0.0,2.0,3.1,5000000,2
72,Ruben Alcaraz,3,78,27.0,2976.0,3.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,10000000,2
73,Antonito,2,78,30.0,1863.0,2.0,1.0,1.0,0.0,0.0,0.0,36.0,36.8,2000000,2
74,Anuar,3,78,23.0,1081.0,1.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,1500000,2
75,Fernando Calero,2,78,22.0,3130.0,1.0,0.0,0.8,0.0,0.0,0.0,46.0,52.9,10000000,2
76,Joaquin Fernandez,2,78,22.0,839.0,1.0,0.0,0.7,0.0,0.0,0.0,16.0,18.1,3000000,2
77,Sergi Guardiola,4,78,27.0,1514.0,3.0,1.0,5.4,0.0,0.0,0.0,0.0,0.0,5000000,2
78,Pablo Hervias,3,78,25.0,160.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,700000,2
79,Jordi Masip,1,78,29.0,3150.0,0.0,0.0,0.0,45.0,96.0,9.0,0.0,0.0,6000000,2
80,Michel,3,78,30.0,2553.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,2000000,2
81,Javi Moyano,2,78,32.0,2098.0,0.0,0.0,0.3,0.0,0.0,0.0,23.0,32.8,800000,2
82,Nacho,2,78,29.0,3150.0,1.0,3.0,0.6,0.0,0.0,0.0,45.0,53.5,20000000,2
83,Kiko Olivas,2,78,29.0,3100.0,0.0,0.0,1.3,0.0,0.0,0.0,45.0,53.2,2000000,2
84,Oscar Plano,3,78,27.0,2693.0,3.0,4.0,4.2,0.0,0.0,0.0,0.0,0.0,4000000,2
85,Stiven Plaza,4,78,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000,2
86,Waldo Rubio,3,78,22.0,492.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000000,2
87,Enes Unal,4,78,21.0,2148.0,6.0,3.0,7.9,0.0,0.0,0.0,0.0,0.0,5000000,2
88,Toni Villa,3,78,23.0,1762.0,2.0,2.0,1.9,0.0,0.0,0.0,0.0,0.0,4000000,2
89,Alex Alegria,4,123,25.0,140.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,800000,2
90,Alex Moreno,2,123,25.0,3136.0,1.0,1.0,1.1,0.0,0.0,0.0,60.0,53.4,7000000,2
